names,scores,logfoldchanges,pvals,pvals_adj
AC103736.1,3.9937327,2.0001302,6.504120360951391e-05,0.00023832961465429845
NTRK3,10.658941,1.9914546,1.5839062087275854e-26,2.422449931703509e-25
SKA3,2.6852808,1.9841136,0.007246891236740766,0.021198342499873003
MCTP2,5.560444,1.9835365,2.6908924708229806e-08,1.3269164242689905e-07
CADPS,3.386935,1.9807762,0.0007067810878438527,0.002329569967580482
AC240274.1,12.4533415,1.9768769,1.3410974705495374e-35,2.985207566372637e-34
LINC00877,5.482917,1.9751672,4.183693118454522e-08,2.026970059295982e-07
ZNF280B,3.7821908,1.9744557,0.0001554541218337595,0.0005508374988337779
DHFR,12.809111,1.9713517,1.457951941816575e-37,3.50123242318568e-36
ENKUR,2.7905436,1.9561886,0.005261963659210946,0.015663243704373032
SSPN,38.465164,1.9499547,0.0,0.0
KCTD8,4.6092625,1.9492965,4.040995379622563e-06,1.6622844731405682e-05
TCF19,3.7129664,1.9474301,0.00020484402339163667,0.0007161400807685665
CABCOCO1,8.8537445,1.947176,8.463116933373329e-19,8.510100129701562e-18
AC011503.1,25.01569,1.9469901,4.12677509489648e-138,6.973495012491839e-136
ADAMTS8,9.101552,1.9464798,8.905030513508595e-20,9.458992358024673e-19
ITGA6,21.871422,1.9439667,4.861861442273145e-106,5.103665384458927e-104
AC132192.1,3.5119748,1.9407585,0.00044479001891828456,0.001502494611687277
DNA2,2.8993802,1.9399557,0.0037390113877978416,0.011329457969608745
C21orf58,8.233768,1.9389099,1.8141462561881699e-16,1.5950328425679808e-15
PROCR,21.047567,1.9384086,2.4071932696142867e-98,2.194425890816471e-96
CU638689.4,5.834403,1.9367031,5.3983560459135135e-09,2.8275305443281267e-08
GLI1,8.853053,1.9338108,8.515688510788525e-19,8.559857660481769e-18
CNTN1,18.514202,1.9307578,1.586268791635442e-76,1.0059557671073914e-74
ITM2A,5.808813,1.9253145,6.291720043285766e-09,3.2762577519650214e-08
KLK6,13.404026,1.9244181,5.727037270258481e-41,1.5484232572748617e-39
AC093827.4,2.7199833,1.9231089,0.006528518248018334,0.01920238019606581
FANCD2,3.347126,1.9225142,0.0008165405564321882,0.0026751138953073927
NME5,10.386271,1.9170794,2.8632746987196855e-25,4.124216825655855e-24
ATP1A2,8.107255,1.9131628,5.177633200688322e-16,4.409580482196542e-15
GDF7,36.925377,1.9121737,1.8098720765350748e-298,1.617967253452146e-295
PODNL1,8.650886,1.910342,5.11012103572374e-18,4.9326640286663887e-17
TRIP13,3.8038502,1.9059786,0.00014246441297881062,0.0005063635086420134
PTCH1,32.570465,1.9058963,1.0746083700146943e-232,4.581634116648804e-230
CKS2,16.539448,1.9049289,1.907644349944515e-61,9.006226212949292e-60
HACD4,16.93804,1.9045187,2.3584994406672388e-64,1.1713457885163295e-62
VWC2,19.72151,1.9022218,1.4095761386876236e-86,1.073175371743135e-84
ME1,8.303784,1.9018039,1.008463330728621e-16,8.983460072157594e-16
NQO1,7.825619,1.898984,5.051633957867342e-15,4.041452998682957e-14
HFE,3.5502825,1.8980192,0.00038481811638071674,0.0013075606252156452
BRI3BP,6.291974,1.8915497,3.1345346747043887e-10,1.8063497492219322e-09
BHLHE41,11.70516,1.8872962,1.1993235996584544e-31,2.301721254663071e-30
TRIM6,2.9403346,1.8832154,0.0032785806867130416,0.010009838776124108
RASSF2,21.382927,1.8826703,1.9265718879055994e-101,1.8603166107849435e-99
CCND2,37.25667,1.8738387,8.262205017566719e-304,8.806557217377942e-301
AC245060.6,7.2685885,1.8717822,3.6326319853702485e-13,2.5839612477044584e-12
NRG2,17.12875,1.8686597,9.058125167019438e-66,4.640070660880031e-64
RBM20,2.704542,1.8676912,0.006839863632251728,0.02007340260940296
LINC01684,3.1408932,1.8676128,0.0016843345462472339,0.0053248874378450375
PLPPR5,4.251946,1.8659335,2.11920980689559e-05,8.165970714474066e-05
PPIL6,5.051279,1.8593514,4.388615524821435e-07,1.9591124684177905e-06
UNC13D,6.011417,1.8587575,1.839087687168805e-09,9.946650482925272e-09
DNAH7,3.725313,1.8583941,0.0001950730604061531,0.0006837221877524696
NPR3,6.560075,1.853491,5.378086196117739e-11,3.296679998960648e-10
FAH,16.928516,1.8522019,2.7728293983171672e-64,1.3746586961639292e-62
